NULL,0x0000,False
CR,0x000D,False
space,0x0020,False
nbspace,0x00A0,False
enspace,0x2002,False
emspace,0x2003,False
thinspace,0x2009,False
thinnbspace,0x202F,False
A,0x0041,True
B,0x0042,True
C,0x0043,True
D,0x0044,True
E,0x0045,True
F,0x0046,True
G,0x0047,True
H,0x0048,True
I,0x0049,True
J,0x004A,True
K,0x004B,True
L,0x004C,True
M,0x004D,True
N,0x004E,True
O,0x004F,True
P,0x0050,True
Q,0x0051,True
R,0x0052,True
S,0x0053,True
T,0x0054,True
U,0x0055,True
V,0x0056,True
W,0x0057,True
X,0x0058,True
Y,0x0059,True
Z,0x005A,True
a,0x0061,True
b,0x0062,True
c,0x0063,True
d,0x0064,True
e,0x0065,True
f,0x0066,True
g,0x0067,True
h,0x0068,True
i,0x0069,True
j,0x006A,True
k,0x006B,True
l,0x006C,True
m,0x006D,True
n,0x006E,True
o,0x006F,True
p,0x0070,True
q,0x0071,True
r,0x0072,True
s,0x0073,True
t,0x0074,True
u,0x0075,True
v,0x0076,True
w,0x0077,True
x,0x0078,True
y,0x0079,True
z,0x007A,True
quotesingle,0x0027,True
quotedbl,0x0022,True
numbersign,0x0023,True
ampersand,0x0026,True
asterisk,0x002A,True
comma,0x002C,True
hyphen,0x002D,True
hyphentwo,0x2010,False
softhyphen,0x00AD,False
nonbreakinghyphen,0x2011,False
period,0x002E,True
colon,0x003A,True
semicolon,0x003B,True
question,0x003F,True
reversedcomma,0x2E41,True
reversedsemicolon,0x204F,True
exclam,0x0021,True
questiondown,0x00BF,True
questiondown.case,,False
exclamdown,0x00A1,True
exclamdown.case,,False
at,0x0040,True
at.case,,False
parenleft,0x0028,True
parenright,0x0029,True
bracketleft,0x005B,True
bracketright,0x005D,True
braceleft,0x007B,True
braceright,0x007D,True
angledbracketleft,0x3008,True
angledbracketright,0x3009,True
leftFacingEternity,0x058E,True
rightFacingEternity,0x058D,True
backslash,0x005C,True
slash,0x002F,True
brokenbar,0x00A6,True
bar,0x007C,True
asciicircum,0x005E,True
underscore,0x005F,True
asciitilde,0x007E,True
section,0x00A7,True
copyright,0x00A9,True
registered,0x00AE,True
trademark,0x2122,True
ordfeminine,0x00AA,True
ordmasculine,0x00BA,True
guilsinglleft,0x2039,True
guilsinglright,0x203A,True
guillemetleft,0x00AB,True
guillemetright,0x00BB,True
quoteleft,0x2018,True
quoteright,0x2019,True
quotesinglbase,0x201A,False
quotedblleft,0x201C,True
quotedblright,0x201D,True
quotedblbase,0x201E,True
dagger,0x2020,True
daggerdbl,0x2021,True
ellipsis,0x2026,True
paragraph,0x00B6,True
periodcentered,0x00B7,True
endash,0x2013,True
emdash,0x2014,True
hyphen.case,,False
colon.case,,False
endash.case,,False
emdash.case,,False
guilsinglleft.case,,False
guilsinglright.case,,False
guillemetleft.case,,False
guillemetright.case,,False
circumflex,0x02C6,False
caron,0x02C7,False
macron,0x00AF,False
firsttonechinese,0x02C9,False
secondtonechinese,0x02CA,False
fourthtonechinese,0x02CB,False
breve,0x02D8,False
dieresis,0x00A8,False
acute,0x00B4,False
grave,0x0060,False
cedilla,0x00B8,False
dotaccent,0x02D9,False
ring,0x02DA,False
ogonek,0x02DB,False
tilde,0x02DC,False
hungarumlaut,0x02DD,False
dblgrave,,False
circumflexcomb,0x0302,False
circumflexcomb.case,,False
caroncomb,0x030C,False
caroncomb.case,,False
caroncomb.calt,,False
macroncomb,0x0304,False
macronbelowcomb,0x0331,False
brevecomb,0x0306,False
brevecomb.case,,False
brevebelowcomb,0x032E,False
brevebelowcomb.case,,False
dieresiscomb,0x0308,False
dieresisbelow,0x0324,False
acutecomb,0x0301,False
acutecomb.case,,False
gravecomb,0x0300,False
gravecomb.case,,False
cedillacomb,0x0327,False
dotaccentcomb,0x0307,False
ringcomb,0x030A,False
ogonekcomb,0x0328,False
tildecomb,0x0303,False
hungarumlautcomb,0x030B,False
dblgravecomb,0x030F,False
commaaccentcomb,0x0326,False
commaturnedabovecomb,0x0312,False
commaabovecomb,0x0313,False
apostrophemodifier,0x02BC,True
dotbelowcomb,0x0323,False
hookabovecomb,0x0309,False
horncomb,0x031B,False
barcomb,0x0335,False
brevecomb_acutecomb,,False
brevecomb_acutecomb.case,,False
brevecomb_gravecomb,,False
brevecomb_gravecomb.case,,False
brevecomb_hookabovecomb,,False
brevecomb_hookabovecomb.case,,False
brevecomb_tildecomb,,False
brevecomb_tildecomb.case,,False
breveinvertedcomb,0x0311,False
breveinvertedcomb.case,,False
circumflexcomb_acutecomb,,False
circumflexcomb_tildecomb.case,,False
circumflexcomb_gravecomb,,False
circumflexcomb_gravecomb.case,,False
circumflexcomb_hookabovecomb,,False
circumflexcomb_hookabovecomb.case,,False
circumflexcomb_tildecomb,,False
circumflexcomb_acutecomb.case,,False
tildecomb.narrow,,False
primemod,0x02B9,False
dblprimemod,0x02BA,False
Agrave,0x00C0,True
Aacute,0x00C1,True
Acircumflex,0x00C2,True
Atilde,0x00C3,True
Amacron,0x0100,True
Abreve,0x0102,True
Adieresis,0x00C4,True
Aring,0x00C5,True
Aogonek,0x0104,True
Aringacute,0x01FA,True
Abreveacute,0x1EAE,True
Abrevedotbelow,0x1EB6,True
Abrevegrave,0x1EB0,True
Abrevehookabove,0x1EB2,True
Abrevetilde,0x1EB4,True
Acircumflexacute,0x1EA4,True
Acircumflexdotbelow,0x1EAC,True
Acircumflexgrave,0x1EA6,True
Acircumflexhookabove,0x1EA8,True
Acircumflextilde,0x1EAA,True
Ahookabove,0x1EA2,True
Adotbelow,0x1EA0,True
AE,0x00C6,True
AEacute,0x01FC,True
Cacute,0x0106,True
Ccircumflex,0x0108,True
Cdotaccent,0x010A,True
Ccaron,0x010C,True
Ccedilla,0x00C7,True
Dcaron,0x010E,True
Dcroat,0x0110,False
Eth,0x00D0,True
Egrave,0x00C8,True
Eacute,0x00C9,True
Ecircumflex,0x00CA,True
Emacron,0x0112,True
Ebreve,0x0114,True
Edotaccent,0x0116,True
Edieresis,0x00CB,True
Ecaron,0x011A,True
Eogonek,0x0118,True
Ecircumflexacute,0x1EBE,True
Ecircumflexdotbelow,0x1EC6,True
Ecircumflexgrave,0x1EC0,True
Ecircumflexhookabove,0x1EC2,True
Ecircumflextilde,0x1EC4,True
Ehookabove,0x1EBA,True
Etilde,0x1EBC,True
Edotbelow,0x1EB8,True
Gcircumflex,0x011C,True
Gbreve,0x011E,True
Gdotaccent,0x0120,True
Gcommaaccent,0x0122,True
Hcircumflex,0x0124,True
Hbar,0x0126,True
Igrave,0x00CC,True
Iacute,0x00CD,True
Icircumflex,0x00CE,True
Itilde,0x0128,True
Imacron,0x012A,True
Ibreve,0x012C,True
Idotaccent,0x0130,True
Idieresis,0x00CF,True
Iogonek,0x012E,True
Ihookabove,0x1EC8,True
Idotbelow,0x1ECA,True
IJ,0x0132,True
Iacute_J.NLD,,True
Jacute,0xFC001,True
Jcircumflex,0x0134,True
Kcommaaccent,0x0136,True
Lacute,0x0139,True
Lcommaaccent,0x013B,True
Lcaron,0x013D,True
Ldot,0x013F,True
Lslash,0x0141,True
Nacute,0x0143,True
Ntilde,0x00D1,True
Ncaron,0x0147,True
Eng,0x014A,True
Ncommaaccent,0x0145,True
Ograve,0x00D2,True
Oacute,0x00D3,True
Ocircumflex,0x00D4,True
Otilde,0x00D5,True
Omacron,0x014C,True
Obreve,0x014E,True
Odieresis,0x00D6,True
Ohungarumlaut,0x0150,True
